split,n,train_pearson,val_pearson,train_spearman,val_spearman,k
full_leaf_count,402,-0.3918007431816242,-0.4631530460298472,0.0056436664444127,0.0758769305757617,40
cifar_average_branching_factor,402,-0.0612968036247905,-0.0632752923669702,0.030919738820133,0.080771313894786,40
cifar_colless_index,402,-0.7833180641197097,-0.8570556148994012,-0.3636729208362892,-0.3705863460195144,40
cifar_average_colless_index,402,-0.2972619220392959,-0.2924190047429733,-0.4150204945979072,-0.4693202701261439,40
cifar_sackin_index,402,-0.753456619486655,-0.8333617442295752,-0.6495647856785584,-0.5993501181443113,40
cifar_average_sackin_index,402,-0.6610756743084718,-0.5956839802504902,-0.8707937428780916,-0.8874534194851789,40
cifar_leaf_count,402,-0.3918007431816242,-0.4631530460298472,0.0056436664444127,0.0758769305757617,40
densenet_average_branching_factor,201,0.0457395690665788,0.0301629083041174,0.2607460733775273,0.3098860226778561,40
densenet_colless_index,201,-0.8406254690383868,-0.8903630487174422,-0.3054385963028088,-0.3231305208989756,40
densenet_average_colless_index,201,-0.5668675005648657,-0.527273971146061,-0.6893784984007961,-0.7462119057489398,40
densenet_sackin_index,201,-0.7708551518472558,-0.8448643947021646,-0.5785192237541331,-0.5430066093869353,40
densenet_average_sackin_index,201,-0.6429761146117535,-0.6049160629309314,-0.880859677353901,-0.9315701002134918,40
densenet_leaf_count,201,-0.2310942101941652,-0.2859417635451743,0.4101982712473535,0.4930464289492718,40
resnet_average_branching_factor,201,-0.2286717680197603,-0.2115130746337493,-0.2986164488258193,-0.2712789226280991,40
resnet_colless_index,201,-0.7297872566935045,-0.8261779831863095,-0.4136483587415313,-0.3950099971690287,40
resnet_average_colless_index,201,-0.0495270757581416,-0.0754092774650389,-0.0495901598469137,-0.0437251456740103,40
resnet_sackin_index,201,-0.7601319088053163,-0.8460380011576197,-0.8836232773497082,-0.8560935313812841,40
resnet_average_sackin_index,201,-0.6889667964703939,-0.5860942491110749,-0.869195101065261,-0.8403012888125391,40
resnet_leaf_count,201,-0.6810494362160092,-0.780812051600758,-0.4850684548101773,-0.4730687242125992,40
cifar_densenet_average_branching_factor,201,0.0457395690665788,0.0301629083041174,0.2607460733775273,0.3098860226778561,40
cifar_densenet_colless_index,201,-0.8406254690383868,-0.8903630487174422,-0.3054385963028088,-0.3231305208989756,40
cifar_densenet_average_colless_index,201,-0.5668675005648657,-0.527273971146061,-0.6893784984007961,-0.7462119057489398,40
cifar_densenet_sackin_index,201,-0.7708551518472558,-0.8448643947021646,-0.5785192237541331,-0.5430066093869353,40
cifar_densenet_average_sackin_index,201,-0.6429761146117535,-0.6049160629309314,-0.880859677353901,-0.9315701002134918,40
cifar_densenet_leaf_count,201,-0.2310942101941652,-0.2859417635451743,0.4101982712473535,0.4930464289492718,40
cifar_resnet_average_branching_factor,201,-0.2286717680197603,-0.2115130746337493,-0.2986164488258193,-0.2712789226280991,40
cifar_resnet_colless_index,201,-0.7297872566935045,-0.8261779831863095,-0.4136483587415313,-0.3950099971690287,40
cifar_resnet_average_colless_index,201,-0.0495270757581416,-0.0754092774650389,-0.0495901598469137,-0.0437251456740103,40
cifar_resnet_sackin_index,201,-0.7601319088053163,-0.8460380011576197,-0.8836232773497082,-0.8560935313812841,40
cifar_resnet_average_sackin_index,201,-0.6889667964703939,-0.5860942491110749,-0.869195101065261,-0.8403012888125391,40
