,True Label,True Class,count,Proportion,Coverage
150,150,sea lion,307,0.0011898025780347717,0.2274
611,613,joystick,302,0.0011704246858843682,0.2237
490,490,chain mail,301,0.0011665491074542875,0.223
788,790,shopping basket,301,0.0011665491074542875,0.223
131,131,little blue heron,301,0.0011665491074542875,0.223
339,339,sorrel,300,0.001162673529024207,0.2222
907,912,worm fence,298,0.0011549223721640455,0.2207
795,797,sleeping bag,297,0.0011510467937339648,0.22
658,660,mobile home,297,0.0011510467937339648,0.22
680,682,obelisk,296,0.001147171215303884,0.2193
63,63,Indian cobra,295,0.0011432956368738034,0.2185
287,287,lynx,294,0.0011394200584437227,0.2178
521,521,Crock Pot,294,0.0011394200584437227,0.2377
518,518,crash helmet,293,0.001135544480013642,0.217
837,839,suspension bridge,293,0.001135544480013642,0.217
523,523,crutch,292,0.0011316689015835615,0.2163
917,922,menu,291,0.0011277933231534807,0.2156
886,890,volleyball,291,0.0011277933231534807,0.2156
786,788,shoe shop,291,0.0011277933231534807,0.2156
126,126,isopod,291,0.0011277933231534807,0.2156
456,456,bow,290,0.0011239177447234,0.2148
143,143,oystercatcher,289,0.0011200421662933193,0.2141
855,857,throne,289,0.0011200421662933193,0.2817
867,869,trench coat,288,0.0011161665878632386,0.2611
471,471,cannon,286,0.0011084154310030772,0.2119
801,803,snowplow,286,0.0011084154310030772,0.2119
432,432,bassoon,284,0.0011006642741429157,0.2104
283,283,Persian cat,283,0.0010967886957128352,0.2096
331,331,hare,282,0.0010929131172827545,0.2089
852,854,theater curtain,282,0.0010929131172827545,0.2146
534,534,dishwasher,279,0.0010812863819925124,0.2067
868,870,tricycle,275,0.0010657840682721897,0.2037
268,268,Mexican hairless,275,0.0010657840682721897,0.3416
419,419,Band Aid,274,0.001061908489842109,0.203
733,735,poncho,274,0.001061908489842109,0.203
958,963,pizza,273,0.0010580329114120283,0.2022
467,467,butcher shop,272,0.0010541573329819476,0.2015
99,99,goose,271,0.0010502817545518669,0.2007
783,785,seat belt,271,0.0010502817545518669,0.2007
899,904,window screen,266,0.0010309038624014635,0.197
875,879,umbrella,265,0.0010270282839713828,0.1963
112,112,conch,265,0.0010270282839713828,0.1963
328,328,sea urchin,264,0.001023152705541302,0.1956
469,469,caldron,263,0.0010192771271112214,0.1948
147,147,grey whale,262,0.0010154015486811406,0.2183
674,676,muzzle,261,0.00101152597025106,0.2206
725,727,planetarium,260,0.0010076503918209792,0.197
821,823,stethoscope,259,0.0010037748133908985,0.1919
110,110,flatworm,258,0.000999899234960818,0.1911
297,297,sloth bear,258,0.000999899234960818,0.1911
313,313,walking stick,256,0.0009921480781006566,0.1896
882,886,vending machine,256,0.0009921480781006566,0.1896
715,717,pickup,254,0.0009843969212404951,0.1881
804,806,sock,252,0.0009766457643803337,0.1867
428,428,barrow,252,0.0009766457643803337,0.1867
565,566,French horn,252,0.0009766457643803337,0.1867
760,762,restaurant,251,0.0009727701859502531,0.1859
535,535,disk brake,251,0.0009727701859502531,0.1859
763,765,rocking chair,251,0.0009727701859502531,0.1859
701,703,park bench,250,0.0009688946075201724,0.1852
613,615,knee pad,249,0.0009650190290900917,0.1844
569,570,gasmask,246,0.0009533922937998496,0.1822
550,550,espresso maker,245,0.0009495167153697689,0.2066
695,697,pajama,243,0.0009417655585096076,0.18
960,965,burrito,243,0.0009417655585096076,0.18
229,229,Old English sheepdog,243,0.0009417655585096076,0.18
503,503,cocktail shaker,242,0.0009378899800795269,0.201
285,285,Egyptian cat,242,0.0009378899800795269,0.1793
719,721,pillow,241,0.0009340144016494462,0.1785
441,441,beer glass,241,0.0009340144016494462,0.1785
478,478,carton,239,0.0009262632447892848,0.177
943,948,Granny Smith,238,0.0009223876663592041,0.1763
615,617,lab coat,234,0.0009068853526388814,0.1733
803,805,soccer ball,233,0.0009030097742088007,0.1726
710,712,Petri dish,233,0.0009030097742088007,0.2302
556,556,fire screen,232,0.00089913419577872,0.1719
843,845,syringe,232,0.00089913419577872,0.1719
470,470,candle,231,0.0008952586173486392,0.1711
199,199,Scotch terrier,231,0.0008952586173486392,0.1711
824,826,stopwatch,228,0.0008836318820583972,0.2011
121,121,king crab,228,0.0008836318820583972,0.1689
178,178,Weimaraner,226,0.0008758807251982359,0.1674
553,553,file,226,0.0008758807251982359,0.1674
861,863,totem pole,224,0.0008681295683380744,0.1659
588,590,hand-held computer,220,0.0008526272546177517,0.203
174,174,Norwegian elkhound,220,0.0008526272546177517,0.163
689,691,oxygen mask,219,0.000848751676187671,0.1622
595,597,holster,217,0.0008410005193275097,0.1607
934,939,zucchini,216,0.0008371249408974289,0.16
210,210,German short-haired pointer,215,0.0008332493624673482,0.1593
457,457,bow tie,215,0.0008332493624673482,0.1593
587,589,hand blower,215,0.0008332493624673482,0.1593
926,931,bagel,214,0.0008293737840372675,0.1585
645,647,measuring cup,214,0.0008293737840372675,0.1585
878,882,vacuum,213,0.0008254982056071869,0.1578
151,151,Chihuahua,211,0.0008177470487470255,0.1563
684,686,oil filter,209,0.0008099958918868642,0.1786
