,Class,Count,Count Majority,Count Homogeneous
599,honeycomb,17,17,17
600,hook,6,6,6
601,hoopskirt,13,13,13
602,horizontal bar,10,10,10
603,horse cart,2,2,2
604,hourglass,2,1,1
605,iPod,1,1,1
606,iron,4,4,4
607,jack-o'-lantern,2,1,1
608,jean,1,1,1
609,jeep,1,1,1
610,jersey,5,5,5
611,jigsaw puzzle,1,1,1
612,jinrikisha,1,1,1
613,joystick,2,2,2
614,kimono,1,1,1
615,knee pad,3,3,3
616,knot,1,1,1
617,lab coat,1,1,1
618,ladle,10,10,10
619,lampshade,29,29,29
620,laptop,18,18,18
621,lawn mower,2,2,2
622,lens cap,1,1,1
623,letter opener,8,8,8
624,library,8,8,8
625,lifeboat,1,1,1
626,lighter,4,4,4
627,limousine,2,2,2
628,liner,1,1,1
629,lipstick,1,1,1
630,Loafer,4,4,4
631,lotion,11,11,11
632,loudspeaker,10,9,9
633,loupe,5,5,5
634,lumbermill,1,1,1
635,magnetic compass,1,1,1
636,mailbag,14,14,14
637,mailbox,1,1,1
638,maillot,4,4,4
639,maillot,18,18,18
640,manhole cover,1,1,1
641,maraca,3,3,3
642,marimba,1,1,1
643,mask,1,1,1
644,matchstick,3,3,3
645,maypole,1,1,1
646,maze,2,2,2
647,measuring cup,1,1,1
648,medicine chest,7,7,7
649,megalith,2,1,1
650,microphone,5,5,5
651,microwave,8,8,8
652,military uniform,2,2,2
653,milk can,2,2,2
654,minibus,7,7,7
655,miniskirt,8,8,8
656,minivan,6,6,6
657,missile,30,30,30
658,mitten,1,1,1
659,mixing bowl,3,3,3
660,mobile home,1,1,1
661,Model T,1,1,1
662,modem,5,5,5
663,monastery,6,6,6
664,monitor,12,12,12
665,moped,3,3,3
666,mortar,2,1,1
667,mortarboard,18,18,18
668,mosque,2,2,2
669,mosquito net,1,1,1
670,motor scooter,24,24,24
671,mountain bike,17,17,17
672,mountain tent,1,1,1
673,mouse,9,9,9
674,mousetrap,3,3,3
675,moving van,4,4,4
676,muzzle,1,1,1
677,nail,10,10,10
678,neck brace,2,2,2
679,necklace,18,18,18
680,nipple,5,4,4
681,notebook,17,17,17
682,obelisk,2,2,2
683,oboe,8,8,8
684,ocarina,5,5,5
685,odometer,1,1,1
686,oil filter,3,3,3
687,organ,1,1,1
688,oscilloscope,1,1,1
689,overskirt,10,10,10
690,oxcart,23,23,23
691,oxygen mask,4,4,4
692,packet,8,8,8
693,paddle,27,27,27
694,paddlewheel,1,1,1
695,padlock,8,8,8
696,paintbrush,6,6,6
697,pajama,1,1,1
698,palace,6,6,6
699,panpipe,1,1,1
