dataset,split,model,k,epoch,layer,thresh,thresh_mode,total_persistence,train_acc,val_acc
mnist,train,vgg,20,65,a1,0.0,0.0,16.28411241232181,0.9921333333333333,0.9813
mnist,train,vgg,20,90,a1,0.0,0.0,16.206371864146774,0.99305,0.9794
mnist,trainUval,vgg,20,115,a1,0.0,0.0,15.010420700021967,0.9983666666666666,0.9834
mnist,trainUval,vgg,20,140,a1,0.0,0.0,12.96850537264163,0.9996,0.9842
mnist,trainUval,vgg,20,166,a1,0.0,0.0,11.45227831443382,0.9986166666666667,0.9837
mnist,trainUval,vgg,20,191,a1,0.0,0.0,18.22077702176375,0.9985666666666667,0.9817
mnist,trainUval,vgg,20,35,a1,0.0,0.0,14.804789174797158,0.9737666666666667,0.9686
mnist,trainUval,vgg,20,60,a1,0.0,0.0,15.681426299148328,0.9914833333333334,0.9811
mnist,trainUval,vgg,20,86,a1,0.0,0.0,14.728757347336575,0.9894333333333334,0.979
mnist,val,vgg,20,110,a1,0.0,0.0,14.248972119414006,0.99645,0.9838
mnist,val,vgg,20,136,a1,0.0,0.0,12.583720584807452,0.9994666666666666,0.984
mnist,val,vgg,20,161,a1,0.0,0.0,11.413580141845017,0.9979833333333333,0.9838
mnist,val,vgg,20,187,a1,0.0,0.0,18.02150414363132,0.9997333333333334,0.985
mnist,val,vgg,20,30,a1,0.0,0.0,9.888697764888633,0.9728666666666667,0.9696
mnist,val,vgg,20,56,a1,0.0,0.0,9.266359694302643,0.9885833333333334,0.9806
mnist,val,vgg,20,81,a1,0.0,0.0,9.099149844482305,0.9915166666666667,0.9812
cifar,train,wres,20,106,a1,0.0,0.0,2346.9036290802364,0.95958,0.8023
cifar,train,wres,20,131,a1,0.0,0.0,5051.173268149562,0.9954,0.8326
cifar,train,wres,20,157,a1,0.0,0.0,242.3598585899823,0.89566,0.7692
cifar,train,wres,20,182,a1,0.0,0.0,88.84359909641717,0.96478,0.8001
cifar,train,wres,20,26,a1,0.0,0.0,184.69378414034873,0.7259,0.6659
cifar,train,wres,20,51,a1,0.0,0.0,3512.4669482516592,0.87926,0.7741
