dataset,split,model,k,epoch,layer,thresh,thresh_mode,total_persistence,minima,cps,train_acc,val_acc
cifar,trainUval,resnet,20,11,a1,1e-06,1e-06,14.855459474142208,147,290,0.74326,0.709
cifar,trainUval,resnet,20,44,a1,1e-06,1e-06,12.955547945859053,145,287,0.90294,0.8153
cifar,trainUval,resnet,20,72,a1,1e-06,1e-06,12.472046735032563,155,305,0.90166,0.8073
cifar,trainUval,resnet,20,3,a1,1e-06,1e-06,17.20360250729209,161,321,0.6326,0.617
cifar,val,resnet,20,25,a1,1e-06,1e-06,12.58047077438016,43,84,0.90082,0.82
cifar,val,resnet,20,77,a1,1e-06,1e-06,12.606632511240718,60,117,0.89282,0.797
cifar,val,resnet,20,39,a1,1e-06,1e-06,12.084213701227782,52,102,0.8632,0.7866
cifar,val,resnet,20,89,a1,1e-06,1e-06,14.948225369027341,38,75,0.93642,0.8258
mnist,train,densenet,20,70,a1,1e-06,1e-06,9.00977488512649,161,309,0.9893666666666666,0.9677
mnist,train,densenet,20,144,a1,1e-06,1e-06,8.693198692356304,127,245,0.9993333333333333,0.9723
mnist,train,densenet,20,199,a1,1e-06,1e-06,4.814535682947735,100,189,0.99995,0.9724
mnist,train,densenet,20,74,a1,1e-06,1e-06,8.913884182054744,159,308,0.9912166666666666,0.9681
mnist,trainUval,densenet,20,130,a1,1e-06,1e-06,9.378790084563434,150,288,0.9992666666666666,0.9719
mnist,trainUval,densenet,20,22,a1,1e-06,1e-06,9.873722920522596,186,356,0.9619166666666666,0.9528
mnist,trainUval,densenet,20,149,a1,1e-06,1e-06,8.849766666389655,160,310,0.9992833333333333,0.9717
mnist,trainUval,densenet,20,53,a1,1e-06,1e-06,9.341045240311814,174,331,0.9872666666666666,0.9675
mnist,val,densenet,20,111,a1,1e-06,1e-06,9.667660190437573,48,92,0.9988333333333334,0.971
mnist,val,densenet,20,188,a1,1e-06,1e-06,9.590841829340206,32,62,0.9999333333333333,0.9723
mnist,val,densenet,20,90,a1,1e-06,1e-06,8.656732882247411,50,96,0.9967,0.9704
mnist,val,densenet,20,62,a1,1e-06,1e-06,8.863191202349299,45,87,0.9892333333333333,0.9675
cifar,train,densenet,20,107,a1,1e-06,1e-06,6.329437685091079,171,338,0.98446,0.847
cifar,train,densenet,20,97,a1,1e-06,1e-06,8.211649944914257,146,289,0.97282,0.8485
cifar,train,densenet,20,175,a1,1e-06,1e-06,9.290840679464964,145,280,0.96776,0.8485
cifar,train,densenet,20,133,a1,1e-06,1e-06,4.4798328775684695,351,692,0.99976,0.873
cifar,trainUval,densenet,20,192,a1,1e-06,1e-06,12.273682424459594,176,347,0.97034,0.8451
cifar,trainUval,densenet,20,120,a1,1e-06,1e-06,13.076424178032653,291,570,0.99624,0.8634
cifar,trainUval,densenet,20,196,a1,1e-06,1e-06,12.336794700137716,211,409,0.97668,0.8533
cifar,trainUval,densenet,20,8,a1,1e-06,1e-06,12.117049350074012,222,435,0.78604,0.7322
cifar,val,densenet,20,147,a1,1e-06,1e-06,13.41383226731159,88,171,0.99986,0.8751
cifar,val,densenet,20,37,a1,1e-06,1e-06,14.059529375971806,45,88,0.89244,0.8095
cifar,val,densenet,20,14,a1,1e-06,1e-06,11.012196907618545,55,108,0.7859,0.7404
cifar,val,densenet,20,159,a1,1e-06,1e-06,15.108693058936751,47,92,0.95474,0.837
