dataset,randomness,split,model,epoch,layer,tensor_path,k_neighbors,num_points,num_classes,intra_class_mean_distance,inter_class_mean_distance,intra_inter_distance_ratio,centroid_mean_separation,centroid_min_separation,neighborhood_purity,knn_accuracy,neighbourhood_purity_20,knn_accuracy_20,train_acc,val_acc
mnist,0.45,val,resnet,200,a4,,,10000,10,,,,,,,,0.8993481461892577,0.9659,0.9998666666666667,0.6743
mnist,0.6,trainUval,resnet,200,a3,,,70000,10,,,,,,,,0.935173187971858,0.9760714285714286,0.9995833333333334,0.502
mnist,0.8,train,resnet,200,a2,,,60000,10,,,,,,,,0.8878143398957838,0.9581333333333332,0.9994666666666666,0.3153
mnist,0.9,val,resnet,200,a1,,,10000,10,,,,,,,,0.4585968415231976,0.7022,0.9998,0.1979
mnist,0.0,train,densenet,200,a6,,,60000,10,,,,,,,,0.9468325547972496,0.9813333333333332,,
mnist,0.05,train,densenet,200,a6,,,60000,10,,,,,,,,0.9425261634474684,0.98015,0.9984,0.9571
mnist,0.1,train,densenet,200,a6,,,60000,10,,,,,,,,0.9407957599570292,0.9790833333333332,0.9991,0.9301
mnist,0.15,train,densenet,200,a6,,,60000,10,,,,,,,,0.9374678521994324,0.9778,0.9991666666666666,0.9029
mnist,0.2,train,densenet,200,a6,,,60000,10,,,,,,,,0.9355968297473384,0.9773,0.9991333333333333,0.8578
mnist,0.25,train,densenet,200,a6,,,60000,10,,,,,,,,0.933541086460921,0.9764166666666668,0.9981,0.8267
mnist,0.3,train,densenet,200,a6,,,60000,10,,,,,,,,0.9317374232461368,0.976,0.9965,0.7857
mnist,0.35,train,densenet,200,a6,,,60000,10,,,,,,,,0.9306076405191482,0.9764833333333334,0.9922666666666666,0.735
mnist,0.4,train,densenet,200,a6,,,60000,10,,,,,,,,0.928487323650238,0.9752166666666666,0.9890333333333333,0.7028
mnist,0.45,train,densenet,200,a6,,,60000,10,,,,,,,,0.9274026983524684,0.9751333333333332,0.98165,0.6491
mnist,0.5,train,densenet,200,a6,,,60000,10,,,,,,,,0.9257413431336444,0.9745,0.9771333333333333,0.5933
mnist,0.6,train,densenet,200,a6,,,60000,10,,,,,,,,0.9216101288316874,0.9742666666666666,0.9523333333333334,0.5088
mnist,0.7,train,densenet,200,a6,,,60000,10,,,,,,,,0.917823748420438,0.9719166666666668,0.9321833333333334,0.4065
mnist,0.8,train,densenet,200,a6,,,60000,10,,,,,,,,0.913330028491875,0.9718,0.89575,0.3115
mnist,0.9,train,densenet,200,a6,,,60000,10,,,,,,,,0.9104793596345404,0.9697833333333332,0.8673833333333333,0.2009
mnist,1.0,train,densenet,200,a6,,,60000,10,,,,,,,,0.9097519055906118,0.9703,,
mnist,0.0,trainUval,resnet,200,a1,,,70000,10,,,,,,,,0.9946132477965354,0.9978571428571428,,
mnist,0.05,val,resnet,200,a5,,,10000,10,,,,,,,,0.8945885983856522,0.9639,0.9999833333333333,0.9641
mnist,0.15,trainUval,resnet,200,a4,,,70000,10,,,,,,,,0.9479263319284984,0.9816714285714284,1.0,0.9112
mnist,0.25,train,resnet,200,a3,,,60000,10,,,,,,,,0.9443925032350072,0.9795166666666668,0.9999666666666667,0.8423
