dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,missing_coless,average_branching_factor,colless_index,missing_colless,total_cophenetic_index,sackin_index,train_acc,val_acc
cifar,val,resnet,20,24,a1,0.0006779517862014472,valley=classes,20,1,1.9,52.0,1,144.0,58.0,0.96746,0.7267
cifar,val,resnet,20,27,a1,0.00017045476124621928,valley=classes,20,1,1.9,44.0,1,124.0,54.0,0.9736,0.7302
cifar,val,resnet,20,30,a1,0.004050860647112131,valley=classes,20,1,1.9,60.0,1,151.0,60.0,0.97678,0.7454
cifar,val,resnet,20,33,a1,0.00010794575791805983,valley=classes,20,1,1.9,34.0,1,103.0,51.0,0.98052,0.7376
cifar,val,resnet,20,36,a1,1.3112829037709162e-05,valley=classes,20,1,1.9,62.0,1,156.0,61.0,0.97656,0.737
cifar,val,resnet,20,39,a1,1.2516566130216233e-05,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.97666,0.7365
cifar,val,resnet,20,3,a1,0.14846980571746826,valley=classes,20,1,1.9,66.0,1,163.0,63.0,0.64486,0.6114
cifar,val,resnet,20,42,a1,3.933888365281746e-06,valley=classes,20,1,1.9,48.0,1,136.0,56.0,0.9776,0.7333
cifar,val,resnet,20,45,a1,2.8958340408280492e-05,valley=classes,20,1,1.9,36.0,1,111.0,52.0,0.98306,0.742
cifar,val,resnet,20,48,a1,4.887509930995293e-06,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.97982,0.7308
cifar,val,resnet,20,6,a1,0.039061009883880615,valley=classes,20,1,1.9,48.0,1,133.0,56.0,0.78514,0.692
cifar,val,resnet,20,9,a1,0.04465530440211296,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.88314,0.7137
mnist,train,resnet,20,0,a1,0.16642355918884277,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.09793333333333333,0.0974
mnist,train,resnet,20,10,a1,8.439613156951964e-05,valley=classes,20,1,1.9,40.0,1,105.0,52.0,0.9925,0.9873
mnist,train,resnet,20,11,a1,0.0004482138901948929,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.9925,0.9872
mnist,train,resnet,20,12,a1,0.0005897217197343707,valley=classes,20,1,1.9,62.0,1,156.0,61.0,0.9879833333333333,0.9823
mnist,train,resnet,20,13,a1,0.0003500551974866539,valley=classes,20,1,1.9,42.0,1,131.0,55.0,0.98465,0.9806
mnist,train,resnet,20,14,a1,3.54044750565663e-05,valley=classes,20,1,1.9,52.0,1,144.0,58.0,0.97775,0.9726
mnist,train,resnet,20,15,a1,0.000554241705685854,valley=classes,20,1,1.9,44.0,1,120.0,54.0,0.9932333333333333,0.9874
mnist,train,resnet,20,1,a1,0.001707185059785843,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.96455,0.9668
mnist,train,resnet,20,2,a1,0.03463950753211975,valley=classes,20,1,1.9,52.0,1,144.0,58.0,0.9676666666666667,0.9692
mnist,train,resnet,20,3,a1,0.0008613923564553261,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.98405,0.9826
mnist,train,resnet,20,4,a1,0.00010977507190546021,valley=classes,20,1,1.9,34.0,1,111.0,51.0,0.9848333333333333,0.9844
mnist,train,resnet,20,5,a1,0.00040617541526444256,valley=classes,20,1,1.9,28.0,1,108.0,50.0,0.9867166666666667,0.9828
mnist,train,resnet,20,6,a1,0.00034009525552392006,valley=classes,20,1,1.9,62.0,1,156.0,61.0,0.9903333333333333,0.9862
